vinho,preço,comentário_do_sommelier,uva,país,região,classificação,vinícola,teor_alcoólico,temperatura_de_serviço,olfativo,visual,gustativo,harmonização
Vinho Português Branco REDONDO DOC Garrafa 750ml,62.99,fresco limonado denotando juventude vinho,roupeiro rabo ovelha fernão pires arinto,alentejo,alentejo,branco,roquevale,12.5,12.0,limpo aroma alguma fruta cítrica fino elegante,palha nuances citrinas,macio ligeiramente acídulo corpo harmonioso personalidade,peixes frescos saladas crustáceos
Vinho Californiano Robert Mondavi Oakville Fume Blanc Garrafa 750Ml,799.99,amarelo claro brilhante tons esverdeados aromas frutas cítricas melão laranja pera canela boca médio encorpado fresco elegante persistente,sauvignon blanc sémillon,estados unidos,"vinhedo ""to kalon"" oakville (ava), (califórnia)",branco,robert mondavi,15.0,10.0,complexo frutas cítricas melão laranja pera canela,amarelo claro brilhante tons esverdeados,vivo fresco elegante persistente,aperitivo ostras gratinadas risoto camarão pratos base frutos mar saladas aspargos queijo cabra etc
Vinho Francês Branco E. GUIGAL CONDRIEU Garrafa 750ml,1049.99,apresenta coloração amarelo dourado notas frutas cítricas damasco pêssego boca médio encorpado fresco redondo,viognier,frança,condrieu aoc (rhône norte),branco,etienne guigal,14.0,11.0,notas frutadas citricas damasco pêssego branco florais violeta,amarelo dorado brilhante,fresco redondo untuoso rico,aperitivos foie gras ovos trufas peixes leves grelhados massas risoto frutos mar queijos leves médios etc
Vinho Brasileiro Frisante Branco Suave CLUB DES SOMMELIERS Garrafa 750ml,29.99,vinho brasileiro altamente recomendável,assemblage,brasil,serra gaúcha,branco,vinícola aurora,11.5,9.0,frutado,,refrescante suave,perfeito consumido acompanha refeições leves petiscos
Vinho argentino Branco Kaiken Estate Sauvignon Blanc Semillon Garrafa 750ml,99.99,vinho diferenciado elegante,sauvignon blanc semillon,argentina,alentejo,branco,kaiken,13.0,12.5,surpreende intensidade aromática evoca notas cítricas frescas mel,linda cor amarela cítrica,expressa pensado enologicamente quer dizer vinho suave marcante carga frutas acidez refrescante equilibrada,aperitivos peixes frutos mar
Vinho Brasileiro Branco Frisante Gaseificado Suave Club Des Sommeliers Serra Gaúcha Garrafa 750ml,34.99,branco saboroso todos momentos,assemblage,brasil,serra gaúcha,branco,vinícola aurora,11.5,5.0,frutado,,refrescante suave,perfeito consumido acompanha refeições leves petiscos
VH BR VALD CR BC 750,169.99,máximo expressão uva chardonnay cultivada coração vale vinhedos,chardonnay,brasil,rio grande do sul,branco,casa valduga,13.5,9.0,aroma fascinante envolvente intensas notas frutas tropicais maduras abacaxi carambola envolvidas nuances chocolate branco baunilha complexo aroma cedido combinação barricas francesas romenas conferindo complexidade elegância,límpido brilhante coloração amarelo palha reflexos esverdeados,boca volumoso potente revelando todo vigor caráter devido alto conteúdo natural álcool harmonia fina acidez parte retronasal remete todo complexo olfativo frutas maduras notas finas elegantes madeira possui longa persistência,massas carnes brancas fondues queijos médios fortes
Vinho Português Branco LAVRADORES DE FEITORIA DOURO Garrafa 750ml,109.99,vinho perfil jovem frutado fresco perfeito beber todos dias,malvasia fina gouveio síria,portugal,douro,branco,lavradores de feitoria,12.5,7.0,fresco frutado salientando ameixa branca melão,palha limão,fresco mineral fino acidez equilibrada fruta viva intensa vinho ótima relação região douro,peixes empanados lulas risotos delicados
Vinho Argentino Branco Kaiken Ultra Chardonnay Garrafa 750ml,189.99,charmoso saboroso vinho,chardonnay,argentina,alentejo,branco,kaiken,14.0,16.0,revela aromas abacaxi pêssegos banana além certas notas minerais toques baunilha proveniente envelhecimento barricas francesas,cor dourada tons esverdeados,paladar mostra complexo fresco equilibrada refrescante acidez natural grande final boca destaque grande volume boca,peixes maior teor gordura salmão grelhado molho cítrico assado ervas massas frutos mar queijos brancos funcionam
Vinho Chileno Branco CHATEAU LOS BOLDOS Chardonnay Garrafa 750ml,80.99,chileno carater marcante,chardonnay,chile,cachapoal,branco,viña los boldos,13.0,7.0,frutos brancos amarelos toques citricos,cor amarelo palha reflexos dourados,deliciosa refrescate combinação sabores frutos brancos toques citricos,boa combinação saladas pescados frutos mar
Vinho Francês Branco E. Guigal Côtes Du Rhône Garrafa 750ml,249.99,coloração amarelo claro brilhante tons dourados apresenta aromas damasco pêssego toques florais boca frutado fresco,viognier roussane clairette marsanne bourboulenc,frança,côtes du rhône aoc,branco,etienne guigal,14.0,7.0,notas damasco pêssego toques florais,amarelo claro brilhante tons dourados,frutado fresco,aperitivo canapés frios saladas geral frutos mar peixes magros grelhados pratos leves etc
Vinho Espanhol Branco FERNANDO DE CASTILLA PALO CORTADO Garrafa 500ml,879.99,leve sútil,palomino,espanha,jerez,licoroso,bodegas rey fernando de castilla,17.0,18.0,frutas secas avelãs frutas cítricas mel balsâmico,cor âmbar pouco intensa,seco alta acidez álcool bem incorporado final longo retrogosto frutas secas mel,tapas espanhóis lula dorê camarão frito isca peixe frito jamón ibérico frutas secas
Vinho Argentino Branco FINCA FLICHMAN ROBLE Chardonnay Garrafa 750ml,41.79,chardonnay leve refrescante dia piscina,chardonnay,argentina,mendoza,branco,finca flichman,13.0,8.0,notas frutas tropicais abacaxi toque baunilha,amarelo tons verde,fresco equilibrado sabores remetem frutas tropicais,peixes molhos leves aves
Vinho Francês Branco CHABLIS GRAND CRU BOUGROS Garrafa 750ml,889.99,chardonnay traz identidade região,chardonnay,frança,chablis,branco,domaine de la cour du roy,13.0,10.0,frutas cítricas frutas tropicais floral delicado notas mineral,amarelo palha,seco encorpado acidez bem estruturada final longo,ostras frutos mar aves vitela queijos meia cura pratos cogumelos trufas
Vinho Francês Branco LES TERRES BLANCHES JOLIVET Poully Fumé Garrafa 750ml,459.99,complexo possui notas frutas cítricas toques minerais apresenta corpo médio boa acidez mineralidade,sauvignon blanc,frança,pouillyfumé aoc ( vale do loire),branco,pascal jolivet,13.0,8.0,frutas cítricas toques minerais,amarelo claro reflexos esverdeados,puro concentrado mineral,aperitivo saladas geral frutos mar ostras frescas peixes grelhados queijo cabra
Vinho Chileno Branco 120 RESERVA ESPECIAL Moscato Garrafa 750ml,54.99,vinho doce refrescante,moscatel,chile,valle do limarí,branco,santa rita,95.0,11.0,apresenta aromas lichia gengibre rosas brancas jasmim frutas maduras além notas flores cítricas,cor amarelo pálido,delicado untuoso boca profundo refrescante,vinho combina delicadamente doçura acidez caráter frutado aromático sendo ideal aperitivo acompanhar algumas sobremesas
Vinho Português Branco Casa Ferreirinha RESERVA PLANALTO DOURO Garrafa 375ml,89.99,vinho fresco estruturado rico perfumes frutas notas florais,viosinho malvasia fina gouveio códega arinto,portugal,douro,branco,casa ferreirinha,12.5,8.0,floral intenso fragrante,amarelo palha reflexos esverdeados,fresco notas florais frescas,pescados mariscos canapés
Vinho Francês branco TRIMBACH PINOT BLANC Garrafa 750ml,269.9,pinot noir pinot blanc confundida tempo chardonnay graças corpo untuoso perfumes delicados ótima porta entrada vinhos alsacianos vinho leve fresco excelente companhia pratos leves peixe aves aperitivo,pinot blanc,frança,alsacia,branco,trimbach,11.0,7.0,citrico notas flores brancas,amarelo palha claro brilhante,leve saboroso refrescante,pescados mariscos queijos
Vinho Francês Branco PIERRE POUILLY-FUISSÉ Garrafa 750ml,569.99,importantes regiões produção brancos mundo coração bourgogne exemplar apresenta qualidade altíssima bouquet intenso paladar agradabilíssimo melhores expressões uva chardonnay,chardonnay,frança,pouillyfuissé (bourgongne),branco,domaine pierre vessigaud,13.5,8.0,aroma intenso baunilha frutos cítricos frutas polpa branca maduras,amarelo palha límpido brilhante,corpo intenso bom equilibrio acidez ótima persistência,perfeito frutos mar lagosta peixes culinária japonesa
Vinho Hungaro Branco Patricius Tokaji Aszú 6 Puttonyos Garrafa 500 Ml,739.99,amarelo acastanhado traços violáceos notas complexas aromas remetem pêssego damasco boca encorpado concentrado untuoso excelente acidez,furmint hárslevelu,hungria,tokaji,branco,patricius,12.0,9.0,notas complexas frutas exóticas pêssego damasco,amarelo acastanhado traços dourados,doce untuoso cremoso excelente acidez,foie gras queijos longa maturação sobremesas base creme frutas
Vinho Chileno Rosé Seco 120 Cabernet Sauvignon Valle Central Garrafa 750ml,54.99,rosé notas dominantes cereja ameixas algumas frutas floresta,cabernet sauvignon,chile,valle central,tinto,santa rita,13.5,11.0,aroma perfumado frutas floresta,rosa claro suave,vinho leve fácil beber acidez refrescante paladar delicado,bom aperitivo combina bem alimentos leves saladas queijos sobremesas cremosas tortas frutas
Vinho Californiano Branco NAPA CELLARS Cardonnay Garrafa 750ml,285.99,napa cellars traz consumidor vinhos alto padrão qualidade intensos encorpados potentes paladar,chardonnay,estados unidos,napa valley,branco,napa cellars,14.2,12.0,aroma chocolate branco manga abacaxi maduro,amarelo dourado límpido brilhante,corpo refrescante encorpado vinho intenso super gastronômico,frutos mar peixes culinária japonesa
Vinho Espanhol Branco Más De Berceo Garrafa 750ml ,119.9,grande exemplar elaborado uva viura,viura,espanha,navarra,branco,vinícola berceo,13.0,9.0,frutas cítricas tropicais flores brancas,amarelo esverdeado límpido brilhante,boca vinho fresco agradável acidez equilibrada final boca delicado,saladas frutos mar peixes
Vinho Português Branco MARQUÊS de BORBA Garrafa 375ml,87.99,branco especial,antão vaz arinto viognier,portugal,alentejo,branco,joão portugal ramos,12.0,10.0,frutas cítricas notas minerais,cor amarela palha,seco alta acidez equilíbrio álcool corpo médio final fresco,peixes grelhados crustáceos risoto lulas polvo pizzas frango queijos finos
Vinho Uruguaio Branco FAMILIA DEICAS PRELUDIO BARREL SELECT Garrafa 750ml,519.99,apresenta notas complexas frutas brancas mel baunilha castanhas encorpado rico untuoso boa acidez muita persistência,chardonnay viognier,uruguai,juanicó,branco,familia deicas / establecimiento juanicó.,13.0,13.0,notas complexas frutas brancas mel baunilha castanhas,amarelo dourado brilhante,rico untuoso elegante persistente,massas base molho branco salmão assado grelhado molhos cremosos aves caça perdiz faisão
Vinho Chileno Branco 120 RESERVA ESPECIAL Sauvignon blanc Garrafa 750ml,54.99,tinto convidativo agradável,sauvignon blanc,chile,valle central,branco,santa rita,12.0,9.0,aroma ervas casca limão,coloração amarela tons verdes,paladar ácido refrescante,peixe frito frutos mar
Vinho Californiano Branco Robert  Napa Valley Mondavi Fumé Blanc Garrafa 750Ml,499.99,elegante delicado possui notas amora cerveja ameixa boca possui corpo médio boa acidez persistência,sauvignon blanc semillon,estados unidos,"napa valley. uvas: 51% stags leap, 30% oakville e 19% outras",branco,robert mondavi,14.0,11.0,notas tangerina goiaba notas cítricas florais especiarias mel,amarelo claro reflexos esverdeados,amplo vivo complexo fresco,aperitivo ostras gratinadas risoto camarão pratos base frutos mar saladas aspargos queijo cabra etc
Vinho Português Branco DOLIUM ESCOLHA By PAULO LAUREANO Garrafa 750ml,699.99,dolium rótulo especial paulo laureano vinus sendo produzido apenas anos grande qualidade,antão vaz,portugal,alentejo,branco,paulo laureano vinus,14.0,7.0,pleno aromas tropicais casca tangerina mesclados notas especiarias,citrina,vinho bem equilibrado forte estrutura frontal fresco entrada untuoso forte personalidade final boca longo fresco extrema elegância,ostras gratinadas bacalhau lagosta lagostins linguado hadoque massas vôngole mariscos outros frutos mar
Vinho Italiano Branco Marsala Vergine Soleras Oro Secco Garrafa 750ml ,509.99,sicília traz pérolas,catarratto grillo,itália,sicilia,licoroso,lombardo,19.0,10.0,frutas cítricas frutas secas balsâmico mel,amarelo ouro antigo,doce alta acidez encorpado final longo persistente,queijos azuis sobremesas base frutas secas
Vinho Francês Branco PASCAL JOLIVET Sancerre Garrafa 750ml,399.99,vinho branco amarelo palha reflexos esverdeados apresentando notas frutas cítricas toques minerias boca vinho fresco intenso vivo elegante final agradável,sauvignon blanc,frança,sancerre aoc (vale do loire),branco,pascal jolivet,13.0,7.0,notas cítricas minerais,amarelo palha reflexos esverdeados,intenso vivo elegante,aperitivo saladas geral frutos mar ostras frescas peixes grelhados queijo cabra
Vinho Espanhol Branco Xarello CLUB DES SOMMELIERS Garrafa 750ml,83.99,vinho doce refrescante,xarello,espanha,penedés,branco,pinord,11.5,17.0,aroma cítrico,citrina translucido,possui frescor acidez medida certa,arroz pescado crustáceos saladas arroz mariscos moluscos massas molho tomate pescado branco pescados molho pizzas
Vinho Francês Rosé GEOGES LA CUVEE Garrafa 750ml,135.99,rosé delicado fácil beber,syrah grenache,frança,beaujolais,rosé,georges duboeuf,12.5,9.0,frutas vermelhas frescas toques cítricos,vermelho rosado brilhante,frutado boa acidez refrescante equilibrado,aperitivos geral saladas carnes brancas grelhadas
Vinho Francês Branco ATTITUDE JOLIVET Sauvignon Blanc Garrafa 750ml,199.99,vinho branco amarelo palha reflexos esverdeados nariz apresenta notas frutas cítricas limão maçã verde kiwi toque mineral possui corpo paladar limpo elegante refrescante,sauvignon blanc,frança,touraine (vale do loire)vin de pays,branco,pascal jolivet,13.0,7.0,frutas cítricas limão maça verde kiwi toque mineral,amarelo palha reflexos esverdeados,limpo elegante refrescante,aperitivo peixes grelhados frutos mar saladas geral queijo cabra
Vinho Francês Rose E. Guigal Tavel Garrafa 750Ml,279.99,apresenta coloração salmão intenso tons rosáceos aroma notas frutas vermelhas toque florais boca frutado boa acidez,grenache cinsault clairette syrah outras,frança,tavel aoc (rhône / sul),rosé,etienne guigal,13.5,9.0,notas frutas vermelhas florais,salmão intenso tons rosáceos,frutado boa acidez harmonioso fresco,aperitivo canapés frios peixes leves grelhados frutos mar paella aves sushi sashimi etc
Vinho Brasileiro Branco MIOLO Reserva Chardonnay Garrafa 750ml,73.99,vinho breve passagem carvalho francês,chardonnay,brasil,campanha,branco,miolo,13.0,8.0,intensidade aromática marcante harmonizando bem aromas fruta madeira carvalho,apresenta boa intensidade cor tonalidades vão palha,apresenta bom volume boca acidez equilibrada agradáveis sensações retrogosto,ideal aperitivo tratar vinho passagem carvalho vinho harmoniza comidas estrutura média contraposição equilibra bem pratos tendência suculência gordura exemplo bolinho bacalhau acarajé comida italiana capeletti polenta fortaia filé grelhado galeto primo canto tortéi
